item
tropical fruit
whole milk
pip fruit
other vegetables
whole milk
rolls/buns
other vegetables
pot plants
whole milk
tropical fruit
citrus fruit
beef
frankfurter
chicken
butter
fruit/vegetable juice
packaged fruit/vegetables
chocolate
whole milk
pip fruit
other vegetables
tropical fruit
citrus fruit
whole milk
rolls/buns
chicken
butter
beef
frankfurter
fruit/vegetable juice
pot plants
tropical fruit
whole milk
pip fruit
other vegetables
whole milk
rolls/buns
citrus fruit
fruit/vegetable juice
packaged fruit/vegetables
chocolate
beef
frankfurter
chicken
butter
fruit/vegetable juice
tropical fruit
whole milk
pip fruit
other vegetables
tropical fruit
citrus fruit
whole milk
rolls/buns
chicken
butter
beef
frankfurter
fruit/vegetable juice
pot plants
whole milk
pip fruit
other vegetables
tropical fruit
citrus fruit
whole milk
rolls/buns
chicken
butter
beef
frankfurter
fruit/vegetable juice
tropical fruit
whole milk
pip fruit
other vegetables
whole milk
rolls/buns
pot plants
fruit/vegetable juice
packaged fruit/vegetables
chocolate
